Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification
Syrian Arab Republic,Eastern Mediterranean,25795,147.39,109,0.62,10,1899,10.85,10,0.06,1,Community transmission
Gabon,Africa,25198,1132.12,92,4.13,34,162,7.28,1,0.04,0,Community transmission
Guinea,Africa,24134,183.77,263,2,17,179,1.36,6,0.05,2,Community transmission
Suriname,Americas,23383,3985.97,1003,170.98,90,582,99.21,37,6.31,7,Community transmission
Mauritania,Africa,21765,468.1,631,13.57,93,495,10.65,6,0.13,0,Community transmission
Guyana,Americas,20953,2663.91,575,73.1,29,492,62.55,14,1.78,0,Community transmission
Eswatini,Africa,20080,1730.79,996,85.85,162,695,59.91,17,1.47,3,Community transmission
Mayotte,Africa,19450,7129.37,38,13.93,0,174,63.78,0,0,0,Community transmission
Haiti,Americas,19295,169.22,188,1.65,0,482,4.23,20,0.18,0,Community transmission
French Polynesia,Western Pacific,19034,6775.88,17,6.05,8,144,51.26,1,0.36,0,Sporadic cases
Guadeloupe,Americas,17809,4450.87,125,31.24,0,274,68.48,4,1,0,Community transmission
Papua New Guinea,Western Pacific,17367,194.11,113,1.26,33,179,2,5,0.06,0,Community transmission
Seychelles,Africa,17005,17290.82,701,712.78,48,68,69.14,11,11.18,0,Community transmission
Somalia,Eastern Mediterranean,15060,94.76,83,0.52,24,779,4.9,4,0.03,2,Community transmission
Mali,Africa,14477,71.49,25,0.12,13,528,2.61,1,0,0,Community transmission
Togo,Africa,14278,172.47,196,2.37,8,133,1.61,1,0.01,0,Community transmission
Tajikistan,Europe,14274,149.66,213,2.23,0,105,1.1,9,0.09,0,Pending
Andorra,Europe,14155,18320.07,164,212.26,80,127,164.37,0,0,0,Community transmission
Burkina Faso,Africa,13520,64.68,26,0.12,11,168,0.8,0,0,0,Community transmission
Belize,Americas,13518,3399.66,175,44.01,0,330,82.99,0,0,0,Community transmission
Bahamas,Americas,13024,3311.94,135,34.33,0,252,64.08,1,0.25,0,Clusters of cases
Martinique,Americas,12807,3412.79,411,109.52,0,98,26.11,0,0,0,Community transmission
Congo,Africa,12790,231.78,0,0,0,167,3.03,0,0,0,Community transmission
Curaçao,Americas,12389,7549.99,40,24.38,25,126,76.79,0,0,0,Community transmission
Lesotho,Africa,11903,555.63,269,12.56,0,335,15.64,2,0.09,0,Community transmission
Djibouti,Eastern Mediterranean,11621,1176.21,15,1.52,6,155,15.69,0,0,0,Clusters of cases
Fiji,Western Pacific,11385,1270.02,4872,543.48,873,58,6.47,25,2.79,3,Sporadic cases
Aruba,Americas,11169,10461.2,25,23.42,8,107,100.22,0,0,0,Community transmission
South Sudan,Africa,10911,97.47,32,0.29,20,117,1.05,0,0,0,Community transmission
Timor-Leste,South-East Asia,9906,751.34,348,26.39,44,25,1.9,0,0,0,Community transmission
Equatorial Guinea,Africa,8815,628.3,56,3.99,25,122,8.7,0,0,0,Community transmission
Benin,Africa,8227,67.86,28,0.23,0,105,0.87,1,0.01,0,Community transmission
Guam,Western Pacific,8186,4850.24,79,46.81,22,141,83.54,1,0.59,0,Clusters of cases
Central African Republic,Africa,7142,147.87,1,0.02,0,98,2.03,0,0,0,Community transmission
Yemen,Eastern Mediterranean,6952,23.31,23,0.08,4,1366,4.58,4,0.01,0,Community transmission
Nicaragua,Americas,6819,102.94,215,3.25,0,192,2.9,1,0.02,0,Community transmission
Iceland,Europe,6675,1833.12,11,3.02,0,30,8.24,0,0,0,Community transmission
Gambia,Africa,6328,261.85,212,8.77,0,185,7.66,3,0.12,0,Community transmission
Eritrea,Africa,6304,177.76,177,4.99,20,29,0.82,4,0.11,0,Community transmission
Sierra Leone,Africa,6046,75.79,235,2.95,15,112,1.4,5,0.06,0,Community transmission
Burundi,Africa,5706,47.99,171,1.44,20,8,0.07,0,0,0,Community transmission
Niger,Africa,5538,22.88,23,0.1,0,194,0.8,0,0,0,Community transmission
Saint Lucia,Americas,5410,2946.19,84,45.74,11,86,46.83,1,0.54,0,Community transmission
Liberia,Africa,5215,103.11,297,5.87,59,144,2.85,10,0.2,0,Community transmission
San Marino,Europe,5092,15003.83,0,0,0,90,265.19,0,0,0,Community transmission
Chad,Africa,4954,30.16,2,0.01,0,174,1.06,0,0,0,Community transmission
Gibraltar,Europe,4430,13148.91,64,189.96,17,94,279.01,0,0,0,Clusters of cases
Jersey,Europe,4351,4036.33,677,628.04,0,69,64.01,0,0,0,Community transmission
Barbados,Americas,4176,1453.15,90,31.32,40,48,16.7,1,0.35,0,Community transmission
Comoros,Africa,4066,467.57,38,4.37,0,146,16.79,0,0,0,Community transmission
United States Virgin Islands,Americas,4033,3862.1,117,112.04,0,32,30.64,2,1.92,0,Community transmission
Guinea-Bissau,Africa,3947,200.56,66,3.35,0,70,3.56,1,0.05,0,Community transmission
Liechtenstein,Europe,3151,8132.24,10,25.81,0,58,149.69,0,0,0,Sporadic cases
Lao People's Democratic Republic,Western Pacific,2825,38.83,525,7.22,106,3,0.04,0,0,0,Sporadic cases
Sint Maarten,Americas,2638,6151.77,18,41.98,5,34,79.29,1,2.33,0,Community transmission
Monaco,Europe,2624,6686.37,35,89.19,2,33,84.09,0,0,0,Sporadic cases
Bermuda,Americas,2521,4048.3,1,1.61,0,33,52.99,0,0,0,Sporadic cases
Saint Martin,Americas,2472,6394.37,52,134.51,0,30,77.6,1,2.59,0,Community transmission
Turks and Caicos Islands,Americas,2436,6291.65,11,28.41,0,18,46.49,0,0,0,Clusters of cases
New Zealand,Western Pacific,2430,50.39,28,0.58,18,26,0.54,0,0,0,Sporadic cases
Sao Tome and Principe,Africa,2392,1091.45,15,6.84,0,37,16.88,0,0,0,Community transmission
Bhutan,South-East Asia,2324,301.19,114,14.77,34,1,0.13,0,0,0,Clusters of cases
Mauritius,Africa,2260,177.71,213,16.75,129,18,1.42,0,0,0,Community transmission
Saint Vincent and the Grenadines,Americas,2244,2022.71,6,5.41,2,12,10.82,0,0,0,Community transmission
Isle of Man,Europe,1684,1980.43,46,54.1,0,29,34.1,0,0,0,No cases
Bonaire,Americas,1633,7807.79,9,43.03,5,17,81.28,0,0,0,Community transmission
Antigua and Barbuda,Americas,1266,1292.77,2,2.04,0,42,42.89,0,0,0,Clusters of cases
British Virgin Islands,Americas,1147,3793.37,691,2285.28,0,3,9.92,2,6.61,0,Community transmission
Saint Barthélemy,Americas,1052,10642.39,6,60.7,0,1,10.12,0,0,0,Clusters of cases
Faroe Islands,Europe,880,1800.88,96,196.46,12,1,2.05,0,0,0,Sporadic cases
Guernsey,Europe,857,1329.34,9,13.96,3,17,26.37,0,0,0,Community transmission
Other,Other,764,,0,,0,13,,0,,0,Not applicable
Cayman Islands,Americas,616,937.31,2,3.04,0,2,3.04,0,0,0,Sporadic cases
Saint Kitts and Nevis,Americas,530,996.39,38,71.44,0,3,5.64,0,0,0,Community transmission
United Republic of Tanzania,Africa,509,0.85,0,0,0,21,0.04,0,0,0,Pending
Wallis and Futuna,Western Pacific,454,4036.99,0,0,0,7,62.24,0,0,0,Sporadic cases
Brunei Darussalam,Western Pacific,277,63.32,15,3.43,2,3,0.69,0,0,0,Sporadic cases
Dominica,Americas,199,276.42,5,6.95,2,0,0,0,0,0,Clusters of cases
Northern Mariana Islands (Commonwealth of the),Western Pacific,185,321.42,1,1.74,0,2,3.47,0,0,0,Pending
Grenada,Americas,162,143.97,0,0,0,1,0.89,0,0,0,Sporadic cases
New Caledonia,Western Pacific,129,45.18,0,0,0,0,0,0,0,0,Sporadic cases
Anguilla,Americas,111,739.9,0,0,0,0,0,0,0,0,Sporadic cases
Falkland Islands (Malvinas),Americas,60,1722.65,0,0,0,0,0,0,0,0,No cases
Greenland,Europe,55,96.88,4,7.05,0,0,0,0,0,0,No cases
Holy See,Europe,26,3213.84,0,0,0,0,0,0,0,0,Sporadic cases
Saint Pierre and Miquelon,Americas,26,448.66,0,0,0,0,0,0,0,0,Sporadic cases
Montserrat,Americas,21,420.08,1,20,0,1,20,0,0,0,No cases
Sint Eustatius,Americas,20,637.15,0,0,0,0,0,0,0,0,No cases
Solomon Islands,Western Pacific,20,2.91,0,0,0,0,0,0,0,0,No cases
Saba,Americas,7,362.13,0,0,0,0,0,0,0,0,No cases
Marshall Islands,Western Pacific,4,6.76,0,0,0,0,0,0,0,0,No cases
Vanuatu,Western Pacific,3,0.98,0,0,0,0,0,0,0,0,No cases
Samoa,Western Pacific,1,0.5,0,0,0,0,0,0,0,0,No cases
American Samoa,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0,No cases
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Palau,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0,No cases
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Tonga,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0,No cases
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
